iter	Passed	Remaining
0	457	228421
1	773	192510
2	1113	184509
3	1437	178252
4	1699	168270
5	1949	160524
6	2195	154654
7	2426	149231
8	2653	144744
9	2896	141933
10	3158	140403
11	3420	139101
12	3659	137091
13	3912	135824
14	4221	136480
15	4510	136438
16	4785	135976
17	5028	134662
18	5325	134831
19	5602	134463
20	5896	134497
21	6178	134247
22	6458	133951
23	6754	133957
24	7031	133590
25	7289	132889
26	7572	132655
27	7850	132344
28	8143	132262
29	8376	131236
30	8640	130714
31	8911	130331
32	9160	129632
33	9443	129438
34	9701	128894
35	9956	128331
36	10204	127688
37	10447	127019
38	10690	126370
39	10942	125842
40	11254	125999
41	11522	125653
42	11778	125183
43	12052	124911
44	12321	124582
45	12589	124254
46	12841	123765
47	13109	123451
48	13391	123254
49	13640	122766
50	13860	122028
51	14145	121872
52	14392	121386
53	14673	121192
54	14927	120774
55	15195	120481
56	15475	120271
57	15745	119994
58	16001	119607
59	16255	119204
60	16516	118862
61	16785	118584
62	17048	118259
63	17301	117863
64	17553	117472
65	17811	117126
66	18095	116944
67	18364	116667
68	18617	116288
69	18889	116035
70	19152	115722
71	19401	115329
72	19657	114980
73	19883	114461
74	20180	114356
75	20469	114197
76	20742	113950
77	21020	113724
78	21283	113421
79	21569	113240
80	21858	113069
81	21949	111890
82	22268	111881
83	22586	111857
84	22880	111708
85	23165	111516
86	23447	111306
87	23736	111129
88	24024	110942
89	24303	110717
90	24618	110647
91	24864	110267
92	25105	109869
93	25371	109583
94	25612	109191
95	25845	108767
96	26105	108460
97	26383	108225
98	26654	107964
99	26924	107699
100	27198	107447
101	27437	107061
102	27691	106732
103	27927	106339
104	28183	106022
105	28294	105170
106	28544	104842
107	28807	104560
108	29060	104243
109	29335	104007
110	29598	103729
111	29886	103535
112	30159	103288
113	30431	103038
114	30688	102740
115	30970	102522
116	31248	102292
117	31511	102010
118	31782	101757
119	32040	101461
120	32310	101203
121	32590	100976
122	32846	100676
123	33079	100305
124	33349	100048
125	33586	99692
126	33835	99376
127	34102	99110
128	34371	98850
129	34618	98529
130	34778	97963
131	35025	97647
132	35258	97292
133	35372	96614
134	35603	96262
135	35841	95927
136	36133	95739
137	36350	95353
138	36585	95017
139	36880	94836
140	37134	94548
141	37417	94334
142	37692	94098
143	38005	93958
144	38293	93752
145	38579	93541
146	38849	93290
147	39130	93066
148	39406	92829
149	39514	92200
150	39759	91893
151	40050	91693
152	40344	91500
153	40609	91239
154	40847	90917
155	41116	90667
156	41416	90483
157	41686	90233
158	41976	90024
159	42256	89794
