Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Wednesday 1 November 2017,00:00,Clear,10°,6,87%,1021 hPa
Wednesday 1 November 2017,00:30,Clear,9°,7,87%,1022 hPa
Wednesday 1 November 2017,01:00,Clear,10°,7,82%,1022 hPa
Wednesday 1 November 2017,01:30,Clear,9°,7,87%,1022 hPa
Wednesday 1 November 2017,02:00,Clear,9°,6,87%,1022 hPa
Wednesday 1 November 2017,02:30,Clear,9°,6,87%,1022 hPa
Wednesday 1 November 2017,03:00,Clear,8°,6,93%,1022 hPa
Wednesday 1 November 2017,03:30,Clear,8°,7,87%,1022 hPa
Wednesday 1 November 2017,04:00,Clear,8°,11,87%,1022 hPa
Wednesday 1 November 2017,04:30,Clear,8°,11,87%,1022 hPa
Wednesday 1 November 2017,05:00,Clear,8°,11,87%,1022 hPa
Wednesday 1 November 2017,05:30,Fair,8°,9,87%,1022 hPa
Wednesday 1 November 2017,06:00,Partly Cloudy,8°,4,87%,1022 hPa
Wednesday 1 November 2017,06:30,Mostly Cloudy,8°,4,87%,1022 hPa
Wednesday 1 November 2017,07:00,Mostly Cloudy,9°,Calm,87%,1022 hPa
Wednesday 1 November 2017,07:30,Mostly Cloudy,9°,2,87%,1022 hPa
Wednesday 1 November 2017,08:00,Mostly Cloudy,9°,Calm,87%,1022 hPa
Wednesday 1 November 2017,08:30,Mostly Cloudy,9°,2,87%,1023 hPa
Wednesday 1 November 2017,09:00,Mostly Cloudy,10°,4,87%,1023 hPa
Wednesday 1 November 2017,09:30,Mostly Cloudy,11°,4,82%,1023 hPa
Wednesday 1 November 2017,10:00,Mostly Cloudy,11°,Calm,82%,1023 hPa
Wednesday 1 November 2017,10:30,Mostly Cloudy,12°,Calm,82%,1023 hPa
Wednesday 1 November 2017,11:00,Mostly Cloudy,13°,4,77%,1023 hPa
Wednesday 1 November 2017,11:30,Mostly Cloudy,14°,2,77%,1023 hPa
Wednesday 1 November 2017,12:00,Mostly Cloudy,16°,7,72%,1023 hPa
Wednesday 1 November 2017,12:30,Mostly Cloudy,17°,6,68%,1022 hPa
Wednesday 1 November 2017,13:00,Partly Cloudy,17°,7,68%,1022 hPa
Wednesday 1 November 2017,13:30,Partly Cloudy,18°,6,64%,1021 hPa
Wednesday 1 November 2017,14:00,Fair,18°,7,64%,1021 hPa
Wednesday 1 November 2017,14:30,Fair,19°,4,60%,1020 hPa
Wednesday 1 November 2017,15:00,Clear,20°,7,53%,1020 hPa
Wednesday 1 November 2017,15:30,Clear,20°,4,53%,1020 hPa
Wednesday 1 November 2017,16:00,Clear,20°,2,53%,1020 hPa
Wednesday 1 November 2017,16:30,Clear,20°,4,53%,1019 hPa
Wednesday 1 November 2017,17:00,Clear,20°,4,53%,1019 hPa
Wednesday 1 November 2017,17:30,Clear,19°,7,56%,1019 hPa
