Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Saturday 2 January 2021,00:00,Fair,0°,9,93%,1011 hPa
Saturday 2 January 2021,00:30,Fair,0°,2,93%,1011 hPa
Saturday 2 January 2021,01:00,Fair,1°,4,80%,1011 hPa
Saturday 2 January 2021,01:30,Fair,-1°,Calm,93%,1011 hPa
Saturday 2 January 2021,02:00,Mostly Cloudy,0°,2,86%,1011 hPa
Saturday 2 January 2021,02:30,Partly Cloudy,0°,4,86%,1011 hPa
Saturday 2 January 2021,03:00,Fair,0°,7,74%,1011 hPa
Saturday 2 January 2021,03:30,Clear,0°,6,69%,1011 hPa
Saturday 2 January 2021,04:00,Clear,0°,7,69%,1011 hPa
Saturday 2 January 2021,04:30,Clear,-2°,6,80%,1011 hPa
Saturday 2 January 2021,05:00,Clear,0°,11,69%,1011 hPa
Saturday 2 January 2021,05:30,Clear,-2°,9,80%,1011 hPa
Saturday 2 January 2021,06:00,Clear,-3°,6,80%,1011 hPa
Saturday 2 January 2021,06:30,Clear,-2°,9,80%,1011 hPa
Saturday 2 January 2021,07:00,Clear,-3°,6,80%,1011 hPa
Saturday 2 January 2021,07:30,Clear,-2°,4,74%,1011 hPa
Saturday 2 January 2021,08:00,Clear,-3°,Calm,80%,1011 hPa
Saturday 2 January 2021,08:30,Clear,-3°,4,80%,1011 hPa
Saturday 2 January 2021,09:00,Clear,-3°,7,80%,1012 hPa
Saturday 2 January 2021,09:30,Fair,-3°,4,86%,1012 hPa
Saturday 2 January 2021,10:00,Fair,-1°,4,74%,1012 hPa
Saturday 2 January 2021,10:30,Fair,1°,7,69%,1012 hPa
Saturday 2 January 2021,11:00,Fair,2°,7,60%,1012 hPa
Saturday 2 January 2021,11:30,Fair,3°,4,60%,1012 hPa
Saturday 2 January 2021,12:00,Fair,4°,13,52%,1012 hPa
Saturday 2 January 2021,12:30,Fair,5°,20,52%,1013 hPa
Saturday 2 January 2021,13:00,Partly Cloudy,5°,19,48%,1012 hPa
Saturday 2 January 2021,13:30,Fair,6°,20,49%,1012 hPa
Saturday 2 January 2021,14:00,Fair,5°,24,52%,1012 hPa
Saturday 2 January 2021,14:30,Fair,5°,22,45%,1012 hPa
Saturday 2 January 2021,15:00,Partly Cloudy,4°,19,52%,1012 hPa
Saturday 2 January 2021,15:30,Fair,4°,17,52%,1013 hPa
Saturday 2 January 2021,16:00,Fair,4°,19,52%,1013 hPa
Saturday 2 January 2021,16:30,Fair,4°,11,52%,1013 hPa
Saturday 2 January 2021,17:00,Fair,3°,15,56%,1013 hPa
